Breed, Affectionate With Family, Good With Young Children, Good With Other Dogs, Shedding Level, Coat Grooming Frequency, Drooling Level, Openness to Strangers, Playfulness Level, Watchdog/Protective Nature, Adaptability Level, Trainability Level, Energy Level, Barking Level, Mental Stimulation Needs, Coat Type, Coat Length 
Soft-Coated-Wheaten-Terrier,5,5,3,1,4,2,3,3,3,3,3,4,3,3,Wavy Silky ,Medium 
Spanish-Mastiff,5,3,3,3,1,5,3,2,5,3,3,3,1,3,Smooth Double ,Short 
Spanish-Water-Dog,5,4,3,1,4,2,3,4,3,3,4,4,3,5,Corded Curly ,Medium 
Spinone-Italiano,5,3,4,3,2,3,3,3,3,3,4,3,2,3,Wiry ,Medium 
Stabyhoun,5,5,4,3,1,2,3,3,3,3,5,4,3,4,Smooth Double ,Short 
Staffordshire-Bull-Terrier,5,5,3,2,2,3,4,4,5,5,5,4,3,4,Smooth ,Short 
Standard-Schnauzer,5,5,3,1,3,3,3,4,5,4,5,3,3,5,Wiry Double ,Medium 
Sussex-Spaniel,5,3,3,3,3,3,3,4,3,4,4,3,3,3,Double ,Medium 
Swedish-Lapphund,5,3,3,3,2,2,4,4,4,4,5,4,4,4,Double ,Long 
Swedish-Vallhund,5,5,3,4,2,2,3,4,3,4,4,4,3,4,Double ,Short 
Taiwan-Dog,5,3,3,3,2,2,3,3,5,4,4,5,3,4,Smooth ,Short 
Teddy-Roosevelt-Terrier,5,5,5,3,2,1,4,4,4,4,4,5,4,4,Smooth ,Short 
Thai-Ridgeback,5,3,3,3,1,1,3,4,5,3,4,4,3,4,Smooth ,Short 
Tibetan-Mastiff,4,3,3,4,3,3,1,3,5,3,3,3,3,4,Double ,Medium 
Tibetan-Spaniel,5,5,3,3,2,2,4,4,4,4,3,3,3,3,Double ,Medium 
Tibetan-Terrier,5,3,3,3,3,2,3,3,4,4,3,4,3,4,Double ,Long 
Tornjak,5,3,1,4,2,3,3,3,5,3,3,3,3,3,Double ,Medium 
Tosa,5,3,1,2,1,3,1,3,5,3,3,3,3,4,Smooth Double ,Short 
Toy-Fox-Terrier,5,3,3,3,2,1,5,4,5,4,5,4,4,4,Smooth ,Short 
Transylvanian-Hound,5,5,5,3,2,3,4,5,5,4,4,5,4,5,Smooth ,Short 
Treeing-Tennessee-Brindle,5,3,5,2,2,3,3,3,3,3,3,3,5,4,Smooth ,Short 
